Codice Scuola,Denominazione,Comune,Indirizzo,indirizzo_completo,latitudine,longitudine,km_bici,minuti_bici,distanza_km,codice scuola,denominazione scuola,sum_COMUNE,sum_CON METODO MONTESSORI,sum_SOSTEGNO PSICOFISICO
MIAA8BA008,IC GIOVANNI XXIII,CESATE,"Via Don Oreste Moretti 4, 20020 CESATE MI","lombardia, italia, via don oreste moretti 4, 20020 cesate mi, cesate",45.5945786,9.0751491,23.67,80.49,25.56,MIAA8BA008,IC GIOVANNI XXIII,1,0,2
MIAA8BJ00V,IC DI CARUGATE,CARUGATE,"Via Roma 2, 20061 CARUGATE MI","lombardia, italia, via roma 2, 20061 carugate mi, carugate",45.5508174,9.3383798,3.6,12.25,3.9,MIAA8BJ00V,IC DI CARUGATE,1,0,0
MIAA8BK00C,IC A.B. SABIN,SEGRATE,"Via Fratelli Cervi 24, 20090 SEGRATE MI","lombardia, italia, via fratelli cervi 24, 20090 segrate mi, segrate",45.4895353,9.2619234,10.91,36.74,12.1,MIAA8BK00C,IC A.B. SABIN,0,2,0
MIAA8BL008,I.C. IQBAL MASIH,PIOLTELLO,"Via Bolivia 4, 20096 PIOLTELLO MI","lombardia, italia, via bolivia 4, 20096 pioltello mi, pioltello",45.4900008,9.3272184,9.72,33.73,12.01,MIAA8BL008,I.C. IQBAL MASIH,4,0,1
MIAA8BM004,IC PIETRO MASCAGNI,MELZO,"Via Monte Rosa 10, 20066 MELZO MI","lombardia, italia, via monte rosa 10, 20066 melzo mi, melzo",45.4996446,9.420614,16.68,56.31,16.59,MIAA8BM004,IC PIETRO MASCAGNI,5,0,2
MIAA8BN00X,IC LEONARDO DA VINCI,SETTALA,"Via Leonardo da Vinci 1, 20090 SETTALA MI","lombardia, italia, via leonardo da vinci 1, 20090 settala mi, settala",45.4287089,9.3795075,20.05,69.62,27.01,MIAA8BN00X,IC LEONARDO DA VINCI,2,0,1
MIAA8BP00Q,"I.C. ""CARLO LEVI""",VIGNATE,"Via Roma 35, 20060 VIGNATE MI","lombardia, italia, via roma 35, 20060 vignate mi, vignate",45.4964579,9.3772284,12.48,44.51,13.7,MIAA8BP00Q,"I.C. ""CARLO LEVI""",2,0,1
MIAA8BR00B,IC GIOVANNI TESTORI,NOVATE MILANESE,"Via Edmondo De Amicis 15, 20026 NOVATE MILANESE MI","lombardia, italia, via edmondo de amicis 15, 20026 novate milanese mi, novate milanese",45.5352007,9.1408058,16.51,55.89,20.27,MIAA8BR00B,IC GIOVANNI TESTORI,0,0,1
MIAA8BT003,IC DI PERO,PERO,"Via Giovanni XXIII 1, 20016 PERO MI","lombardia, italia, via giovanni xxiii 1, 20016 pero mi, pero",45.5101958,9.0815074,25.39,90.26,27.99,MIAA8BT003,IC DI PERO,0,0,1
MIAA8BU00Q,IC PAOLO NEGLIA,POGLIANO MILANESE,"Via San Francesco 17, 20010 POGLIANO MILANESE MI","lombardia, italia, via san francesco 17, 20010 pogliano milanese mi, pogliano milanese",45.5316045,8.986772,31.52,106.42,34.46,MIAA8BU00Q,IC PAOLO NEGLIA,0,0,1
MIAA8BV00C,IC FABRIZIO DE ANDRE',RHO,"Via Cadorna 23, 20017 RHO MI","lombardia, italia, via cadorna 23, 20017 rho mi, rho",45.5348176,9.0333133,26.64,89.81,30.47,MIAA8BV00C,IC FABRIZIO DE ANDRE',6,0,0
MIAA8BW008,IC ROSANNA GALBUSERA,SEGRATE,"Via Roma 20, 20090 SEGRATE MI","lombardia, italia, via roma 20, 20090 segrate mi, segrate",45.49108,9.2949886,9.8,33.0,15.12,MIAA8BW008,IC ROSANNA GALBUSERA,1,0,0
MIAA8BX004,IC ALBERT SCHWEITZER,SEGRATE,"Via Cilea 15, 20090 SEGRATE MI","lombardia, italia, via cilea 15, 20090 segrate mi, segrate",45.4808063,9.2985535,11.11,40.45,11.77,MIAA8BX004,IC ALBERT SCHWEITZER,3,0,1
MIAA8C800N,IC DANTE ALIGHIERI,SESTO SAN GIOVANNI,"Via Risorgimento 29, 20099 SESTO SAN GIOVANNI MI","lombardia, italia, via risorgimento 29, 20099 sesto san giovanni mi, sesto san giovanni",45.5320131,9.228094,9.36,32.64,9.64,MIAA8C800N,IC DANTE ALIGHIERI,1,0,1
MIAA8CA00V,IC DI INZAGO,INZAGO,"Via Marchesi 15, 20065 INZAGO MI","lombardia, italia, via marchesi 15, 20065 inzago mi, inzago",45.5397556,9.4803761,19.03,66.19,18.05,MIAA8CA00V,IC DI INZAGO,1,0,2
MIAA8CK003,IC BASIANO,MASATE,"Via Roma 15, 20060 MASATE MI","lombardia, italia, via roma 15, 20060 masate mi, masate",45.566806,9.4650922,14.35,49.34,16.08,MIAA8CK003,IC BASIANO,0,0,1
MIAA8CR002,IC SORELLE AGAZZI,MILANO,"Via dei Tulipani 24, 20146 MILANO MI","lombardia, italia, via dei tulipani 24, 20146 milano mi, milano",45.4496509,9.1376631,22.09,81.16,26.52,MIAA8CR002,IC SORELLE AGAZZI,0,0,2
MIAA8D500R,IC VIA VIQUARTERIO,PIEVE EMANUELE,"Via Mascagni 18, 20072 PIEVE EMANUELE MI","lombardia, italia, via mascagni 18, 20072 pieve emanuele mi, pieve emanuele",45.3427727,9.1987449,34.67,119.85,33.75,MIAA8D500R,IC VIA VIQUARTERIO,4,0,1
MIAA8D8008,IC PADERNO DUGNANO VIA MANZONI,PADERNO DUGNANO,"Via Manzoni 40, 20037 PADERNO DUGNANO MI","lombardia, italia, via manzoni 40, 20037 paderno dugnano mi, paderno dugnano",45.5794183,9.1580424,15.92,53.65,18.57,MIAA8D8008,IC PADERNO DUGNANO VIA MANZONI,2,0,1
